# x y z rho theta phi s1 s2 stress_xx np intf bulk
-0.803857 -10.831744 -14.422065 18.054607 1.496719 2.496098 -0.002602 0.008938 -1455310.000000 1 0 0
2.147243 -13.595044 -13.092565 18.996082 -1.414147 2.331215 0.012502 0.016405 1072770.000000 1 0 0
2.084343 -11.208444 -14.800465 18.682277 -1.386935 2.485234 0.001100 0.016899 1386930.000000 1 0 0
-5.610357 -6.312444 -16.407465 18.453400 0.844216 2.666236 0.019152 -0.006951 -1272670.000000 1 0 0
4.561743 -14.240444 -11.478265 18.850738 -1.260788 2.225473 0.013317 0.008512 1894240.000000 1 0 0
13.966643 -10.572344 -7.922865 19.225331 -0.647948 1.995560 0.049213 -0.009476 -1057750.000000 1 0 0
7.012843 10.832456 -10.778465 16.813607 0.996257 2.266670 0.050406 -0.029718 -13144.400000 1 0 0
5.770743 -4.209044 -12.535265 14.427418 -0.630171 2.623671 0.001880 -0.001325 3344160.000000 1 0 0
13.690843 0.543056 -10.114965 17.030755 0.039645 2.206723 0.028050 -0.002379 1003270.000000 1 0 0
14.138543 5.107456 -10.469065 18.319002 0.346656 2.179113 0.029036 -0.004678 -1347800.000000 1 0 0
4.141943 4.273756 -13.504265 14.757569 0.801060 2.726487 0.005613 -0.004096 1446870.000000 1 0 0
10.350243 -4.968644 -13.745865 17.909879 -0.447561 2.445731 0.039312 -0.000597 -587424.000000 1 0 0
2.590843 -7.588444 -12.004065 14.435876 -1.241786 2.552678 -0.001962 0.005807 1692350.000000 1 0 0
-5.581957 -1.995644 -15.160465 16.278223 0.343356 2.768856 0.017476 -0.007650 1931610.000000 1 0 0
10.719543 0.026656 -9.705065 14.460207 0.002487 2.306564 0.013751 0.001342 1449480.000000 1 0 0
-1.685957 -9.459244 -16.891765 19.433257 1.394415 2.624418 0.005690 -0.005908 877313.000000 1 0 0
8.718543 1.548256 -17.786065 19.868422 0.175750 2.679660 0.042235 -0.010448 -1286650.000000 1 0 0
16.430243 -5.809044 -8.847565 19.544239 -0.339841 2.040581 0.093584 -0.016457 -1596090.000000 1 0 0
10.147643 7.577156 -10.014365 16.145447 0.641380 2.239870 0.041820 -0.014308 475085.000000 1 0 0
13.913343 -2.272344 -10.650965 17.668834 -0.161892 2.217816 0.052488 -0.008319 -550479.000000 1 0 0
7.278743 -1.858044 -13.606365 15.542381 -0.249932 2.637134 0.015775 -0.008641 1245080.000000 1 0 0
-2.721757 6.645356 -13.713265 15.479740 -1.182065 2.659194 0.003107 -0.012120 878479.000000 1 0 0
11.297643 1.883956 -13.945265 18.045954 0.165236 2.453981 0.036937 -0.008199 918571.000000 1 0 0
-2.332357 10.646856 -12.859065 16.856779 -1.355138 2.438494 0.006470 -0.009829 -840143.000000 1 0 0
2.909643 -1.061844 -15.189465 15.502044 -0.349922 2.940437 0.008356 -0.007705 1178430.000000 1 0 0
-9.077457 0.473156 -15.191165 17.702983 -0.052077 2.602380 0.016578 -0.001033 -1074150.000000 1 0 0
2.287843 -1.724244 -17.947265 18.174476 -0.645836 2.983303 0.022920 -0.019850 1447490.000000 1 0 0
0.986043 7.827756 -13.068965 15.265775 1.445489 2.598464 0.001728 -0.010011 -265504.000000 1 0 0
9.317043 -9.144344 -9.951765 16.415357 -0.776044 2.222130 0.021364 0.002556 -27189.400000 1 0 0
3.889343 7.258256 -13.492565 15.806916 1.078881 2.593627 0.002507 -0.007272 639313.000000 1 0 0
-2.764157 9.003956 -15.409465 18.059995 -1.272936 2.592958 0.002662 -0.011253 -1026490.000000 1 0 0
5.491843 -7.675344 -15.303065 17.979295 -0.949732 2.588967 0.009436 0.002922 -130643.000000 1 0 0
4.291443 7.223356 -16.322065 18.357646 1.034722 2.666205 0.010909 -0.005677 -486543.000000 1 0 0
-0.148057 5.086256 -13.484365 14.412495 -1.541695 2.780758 0.007600 -0.012222 1312720.000000 1 0 0
8.851643 4.274156 -16.582465 19.276881 0.449847 2.606508 0.034622 -0.006140 -1138930.000000 1 0 0
5.333243 0.337256 -14.301765 15.267538 0.063152 2.784004 0.004381 -0.004362 -76418.900000 1 0 0
6.193843 7.977356 -11.587365 15.371042 0.910595 2.424689 0.016275 -0.012961 221163.000000 1 0 0
2.674943 -8.393344 -15.004765 17.399613 -1.262275 2.610713 0.003535 0.002624 133463.000000 1 0 0
3.994943 11.435156 -13.853965 18.402573 1.234695 2.423144 0.026545 -0.021895 -362812.000000 1 0 0
0.625343 -4.561644 -13.678165 14.432320 -1.434558 2.816889 0.007993 -0.002306 2830450.000000 1 0 0
8.487943 -0.016844 -11.630865 14.398697 -0.001984 2.511159 0.004427 -0.004936 -663600.000000 1 0 0
-0.944157 -4.966444 -16.222665 16.992112 1.382931 2.839505 0.007601 -0.011067 -372534.000000 1 0 0
4.520043 0.908756 -11.647565 12.526867 0.198405 2.764684 0.003922 -0.005149 2214320.000000 1 0 0
-2.955557 -7.117144 -15.556365 17.360575 1.177193 2.681642 0.004546 -0.003960 3227590.000000 1 0 0
11.426343 -3.790344 -11.448865 16.613384 -0.320298 2.331091 0.033005 0.000433 843578.000000 1 0 0
